,pathway_name,pathway_description,ko_id
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08744
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13511
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13514
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00999
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13516
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K00803
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01080
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K00993
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K00994
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K13644
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K20656
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01047
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16342
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16343
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K14621
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16817
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K13512
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K08743
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01122
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K22387
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K18575
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01115
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16860
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K04628
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01019
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K13510
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16794
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K16795
19,hsa00565,Ether lipid metabolism - Homo sapiens (human),K01062
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K00654
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04708
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K04710
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K24621
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K24622
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K23727
20,hsa00600,Sphingolipid metabolism - Homo sapiens (human),K12348
