,Unnamed: 0,pathway_name,pathway_description,ko_id
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01107
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01106
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K24222
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K03103
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00911
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00913
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00915
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K10572
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00469
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00140
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01803
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K00261
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01915
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01948
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K01672
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K18245
15,15,hsa00910,Nitrogen metabolism - Homo sapiens (human),K18246
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K13811
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K01082
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K15759
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K00387
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K22470
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K17725
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K01011
16,16,hsa00920,Sulfur metabolism - Homo sapiens (human),K17285
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11529
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00128
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14085
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00149
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00011
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00002
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00863
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00864
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00629
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13506
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13509
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13523
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K19007
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13513
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13517
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01080
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K15728
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K18693
